sample	name	class
SRS4167895	big_smooth	hybrid
SRS4167689	biker_og	hybrid
SRS1098406	black84	indica
SRS1099976	black84_1	indica
SRS1760354	blackberry_gdp	unknown
SRS1758123	blackberry_headband	unknown
SRS4167852	blackberry_ice_cream	hybrid
SRS1758298	blackberry_kush	indica
SRS1760384	blackberry_kush_1	indica
SRS1758202	blackberry_pie	hybrid
SRS1760282	black_betty	hybrid
SRS4169458	black_betty_1	hybrid
SRS1431900	black_cherry	indica
SRS1757944	black_cherry_soda	hybrid
SRS4167624	black_cherry_soda_1	hybrid
SRS4169710	black_cherry_soda_2	hybrid
SRS4169713	black_cherry_soda_3	hybrid
SRS4167459	blackdog	hybrid
SRS4167825	black_dog_bc4_ric4	hybrid
SRS4167826	black_dog_biovortex	hybrid
SRS1757932	black_haze	hybrid
SRS1758242	black_ice_9r1	indica
SRS1431822	black_jack	hybrid
SRS1967055	black_jack1	hybrid
SRS1967053	black_jack2	hybrid
SRS4167440	black_lime	indica
SRS4169397	black_lime_reserve	indica
SRS4169763	black_lime_reserve_1	indica
SRS4167566	black_pearl	hybrid
SRS4167428	black_russian	hybrid
SRS1758344	black_trinity	unknown
SRS1758345	black_trinity_1	unknown
SRS1758346	black_trinity_2	unknown
SRS1758347	black_trinity_3	unknown
SRS1758348	black_trinity_4	unknown
SRS1758349	black_trinity_5	unknown
SRS4167991	black_trinity_mp	unknown
SRS1758039	black_water	indica
SRS4167539	black_widow	hybrid
SRS1760265	black_widow_no1	hybrid
SRS4168048	blissful_wizard	hybrid
SRS4167577	blood_diamond_og_kush	indica
SRS4167356	blood_orange_amethyst	hybrid
SRS1758331	blotter	unknown
SRS1758332	blotter_1	unknown
SRS1758337	blotter_2	unknown
SRS1758338	blotter_3	unknown
SRS1758339	blotter_4	unknown
SRS1758340	blotter_5	unknown
SRS1760350	blue_alien	indica
SRS1431968	blueberry	indica
SRS1757921	blueberry_1	indica
SRS1757978	blueberry_2	indica
SRS1758077	blueberry_3	indica
SRS1760373	blueberry_4	indica
SRS3289201	blueberry_5	indica
SRS4167732	blueberry_6	indica
SRS4167949	blueberry_7	indica
SRS4167262	blueberry_bubblegum	hybrid
SRS4168053	blueberry_calyx	hybrid
SRS4167193	blueberry_cheesecake	hybrid
SRS1107977	blueberrycheesecake11male	hybrid
SRS1107964	blueberrycheesecakebc2fem	hybrid
SRS4169358	blueberry_cookies	hybrid
SRS4169360	blueberry_cough	hybrid
SRS4167939	blueberry_cupcake	hybrid
SRS1758145	blueberry_diesel	hybrid
SRS1360607	blueberry_dj	indica
SRS4167818	blueberry_dome	sativa
SRS1098405	blueberryessence	hybrid
SRS1099984	blueberryessence_1	hybrid
SRS1107943	blueberryessense	hybrid
SRS4167947	blueberry_flo_father	hybrid
SRS4169507	blueberry_girl_scout_cookies	hybrid
SRS1758232	blueberry_kush	indica
SRS1759500	blueberry_kush_1	indica
SRS4169526	blueberry_muffin_10	-
SRS4168056	blueberry_muffin_2	-
SRS4167283	blueberry_muffin_2018	-
SRS4167979	blue_berry_muffin_3	-
SRS4167349	blueberry_muffin_4	-
SRS4169702	blueberry_skunk	-
SRS4167883	blueberry_sour_diesel	-
SRS4167396	blueberry_x_northern_lights	-
SRS1431833	blue_cheese	indica
SRS4169586	blue_cheese_1	-
SRS4169608	blue_cheese_2	-
SRS4167389	blue_city_diesel	-
SRS4167892	blue_city_diesel_1	-
SRS4169476	blue_cookies	-
SRS4167180	blue_diesel	-
SRS1758026	blue_dragon	hybrid
SRS4167649	blue_dragon_1	-
SRS1098407	bluedream	hybrid
SRS1099983	bluedream_1	hybrid
SRS1107941	bluedream_2	hybrid
SRS1360606	blue_dream	hybrid
SRS1431854	blue_dream_1	hybrid
SRS1757965	blue_dream_2	hybrid
SRS1758086	blue_dream_3	hybrid
SRS1758158	blue_dream_4	hybrid
SRS1758174	blue_dream_5	hybrid
SRS1758175	blue_dream_6	hybrid
SRS1758200	blue_dream_7	hybrid
SRS1758243	blue_dream_8	hybrid
SRS1759501	blue_dream_9	hybrid
SRS1760328	blue_dream_10	hybrid
SRS4167181	blue_dream_11	-
SRS4167794	blue_dream_12	-
SRS4167897	blue_dream_13	-
SRS4169718	blue_dream_14	-
SRS1967051	blue_dream1	hybrid
SRS1967052	blue_dream2	hybrid
SRS4167435	blue_dream_og	-
SRS4169601	blue_dream_the_chronic	-
SRS1758384	blue_dynamite	indica
SRS1758480	blue_dynamite_1	indica
SRS4167275	blue_dynamite_2	-
P2_F11_M_0071	blue_hell	hybrid
SRS1758211	blue_light_special	unknown
SRS4167677	blue_lotus_14	-
SRS1757967	blue_magoo	hybrid
SRS1759435	blue_magoo_1	hybrid
SRS4167318	blue_magoo_2	-
SRS4168070	blue_magoo_3	-
SRS1431960	blue_og	hybrid
SRS1967050	blue_steele	indica
SRS4169673	blue_venom	-
SRS4167265	bluezzz_5	-
SRS1758056	bobs_gdp	unknown
SRS1758381	bogota_breeze	unknown
SRS1758544	bolonska_yugoslavia	unknown
SRS4167336	booty_call	-
SRS1431935	boss_hogg_f4	unknown
SRS1757951	brain_freeze	unknown
SRS4167743	brainwreck	-
SRS1758538	brazil_pernambuco	unknown
SRS1760288	bright_moments	unknown
SRS4168030	brothers_keeper	-
SRS4167344	bruce_banner	-
SRS4169424	bruce_banner_1	-
SRS4169609	bruce_banner_3	-
SRS4167303	bruce_perlowin_nc_1	-
SRS4167302	bruce_perlowin_nc_2	-
SRS1107940	brzailliangrapefruit	unknown
SRS4167179	bubba_express	-
SRS1758110	bubba_gdp	unknown
